city,year,gdp_per_capita,disposable_income,population,gdp_total,source,source_url,rd_expenditure
Beijing,2020,,69434.0,,36102.6,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202103/t20210311_2304398.html,
Beijing,2021,184000.0,75002.0,21886000.0,40269.6,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,
Beijing,2022,190000.0,77415.0,21843000.0,41610.9,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,
Beijing,2023,200000.0,81752.0,,43760.7,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,
Beijing,2024,228000.0,85415.0,21832000.0,49843.1,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,
Beijing,2025,239000.0,89090.0,21800000.0,52073.4,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202603/t20260325_4565494.html,
Changsha,2021,,,10239300.0,13270.7,City statistical communique,https://tjgb.hongheiku.com/djs/25200.html,
Changsha,2022,,,10420600.0,13966.11,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,
Changsha,2023,,,10513100.0,14331.98,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202405/t20240506_33292952.html,
Changsha,2024,,,10616500.0,15268.78,City statistical communique,https://tjgb.hongheiku.com/djs/58642.html,
Changsha,2025,,,10721400.000000002,15737.82,City statistical communique,https://tjgb.hongheiku.com/djs/69005.html,
Chengdu,2022,98149.0,47948.0,21268000.0,20817.5,City statistical communique,https://tjgb.hongheiku.com/djs/35562.html,
Chengdu,2023,103465.0,,21268000.0,22074.7,City statistical communique,https://tjgb.hongheiku.com/djs/46512.html,
Chengdu,2024,109669.0,,21474000.0,23511.3,City statistical communique,https://www.tjnj.net/newsview.aspx?newsid=20250717155655,
Chengdu,2025,115155.0,54363.0,21535000.0,24763.6,City statistical communique,https://tjgb.hongheiku.com/djs/68696.html,
Chongqing,2020,,30824.0,,25002.79,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202103/t20210318_9008291_wap.html,
Chongqing,2021,86879.0,33803.0,32124300.0,27894.02,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202203/t20220318_10522726_wap.html,
Chongqing,2022,90663.0,35666.0,32133400.0,29129.03,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202303/t20230317_11775723_wap.html,
Chongqing,2023,94135.0,37595.0,31914300.0,30145.79,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202403/t20240326_13084652_wap.html,
Chongqing,2024,100889.0,39713.0,31904699.999999996,32193.15,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,
Chongqing,2025,105874.0,41580.0,31872600.000000004,33757.93,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202603/t20260326_15568538_wap.html,
Guangzhou,2022,153625.0,,18734100.0,28839.0,City statistical communique,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_8972753.html,
Guangzhou,2023,161634.0,,18827000.0,30355.73,City statistical communique,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_9567759.html,
Guangzhou,2024,164171.0,,18978000.0,31032.5,City statistical communique,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10203416.html,
Guangzhou,2025,168279.0,80591.0,19101000.0,32039.46,City statistical communique,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10800227.html,
Hangzhou,2021,149857.0,67709.0,12204000.0,18109.0,City statistical communique,https://tjgb.hongheiku.com/djs/25516.html,
Hangzhou,2022,152588.0,70281.0,12376000.0,18753.0,City statistical communique,https://tjgb.hongheiku.com/djs/37237.html,
Hangzhou,2023,161129.0,73797.0,12376000.000000002,20059.0,City statistical communique,https://tjgb.hongheiku.com/djs/45617.html,
Hangzhou,2024,173867.0,76777.0,12624000.0,21860.0,City statistical communique,https://hznews.hangzhou.com.cn/chengshi/content/2025-03/20/content_8929189_0.htm,
Hangzhou,2025,181732.0,80017.0,12700000.0,23011.0,City statistical communique,https://tjgb.hongheiku.com/djs/69708.html,
Harbin,2021,56580.0,,9885000.0,1215.0,City statistical communique,https://tjgb.hongheiku.com/djs/29127.html,
Harbin,2023,,56961.0,10371500.0,15760.34,City statistical communique,https://tjgb.hongheiku.com/djs/48448.html,
Harbin,2024,,,9330000.0,6016.3,City statistical communique,https://www.harbin.gov.cn/haerbin/c104569/202506/1063449/files/2024%E5%B9%B4%E5%93%88%E5%B0%94%E6%BB%A8%E5%B8%82%E5%9B%BD%E6%B0%91%E7%BB%8F%E6%B5%8E%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,
Hefei,2020,121187.0,46009.0,9465000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/25210.html,
Hefei,2021,121187.0,46009.0,9465000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/25210.html,
Hefei,2024,136063.0,55832.0,10002000.0,,City statistical communique,https://www.tjnj.net/newsview.aspx?newsid=20250427155536,
Kunming,2021,,52523.0,8502000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/31057.html,
Kunming,2022,,53832.0,8600000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/39200.html,
Kunming,2024,95060.0,57444.0,8687000.0,8275.22,City statistical communique,https://www.km.gov.cn/c/2025-07-18/5003243.shtml,
Nanchang,2021,104788.0,,6437500.0,6650.53,City statistical communique,https://tjgb.hongheiku.com/djs/26554.html,
Nanchang,2022,111031.0,44422.0,6538099.999999999,7203.5,City statistical communique,http://tjj.nc.gov.cn/ncstjj/flfg/202304/f5b4817f4737428ebc72ca8ae495214f.shtml,
Nanchang,2023,,,6568199.999999999,7437.85,City statistical communique,https://www.nc.gov.cn/ncszf/sjfb/202502/4e66745eb31e4ca4bd6bbddc560c9567.shtml,
Nanchang,2024,,48891.0,6670400.0,7800.37,City statistical communique,https://www.nc.gov.cn/ncszf/mjls/201905/6dc73931d792456bb06dbc58121cfa16.shtml,
Nanjing,2021,174520.0,66140.0,9423400.0,16355.32,City statistical communique,https://tjj.nanjing.gov.cn/tjxx/202204/t20220420_3347012.html,
Nanjing,2022,178781.0,69039.0,9491100.0,16907.85,City statistical communique,https://tjj.nanjing.gov.cn/njstjj/202303/t20230324_3871053.html,112.0
Nanjing,2023,183015.0,72112.0,9491100.0,17421.4,City statistical communique,https://tjgb.hongheiku.com/djs/46614.html,
Nanjing,2024,193483.0,75180.0,9577000.0,18500.81,City statistical communique,https://tjgb.hongheiku.com/djs/57850.html,
Nanjing,2025,202220.0,78243.0,9638500.0,19428.78,City statistical communique,https://tjgb.hongheiku.com/xjtjgb/xj2020/73718.html,
Qingdao,2022,,53735.0,10342100.0,,City statistical communique,https://tjgb.hongheiku.com/djs/36589.html,
Qingdao,2023,,56961.0,10371500.0,15760.34,City statistical communique,https://tjgb.hongheiku.com/djs/48448.html,
Qingdao,2024,,59922.0,10442500.0,16719.46,City statistical communique,https://tjgb.hongheiku.com/djs/58586.html,
Shanghai,2020,,72232.0,,,City statistical communique,https://tjj.sh.gov.cn/tjgb/20210317/234a1637a3974c3db0cc47a37a3c324f.html,
Shanghai,2021,,78027.0,24894300.0,43214.85,City statistical communique,https://tjj.sh.gov.cn/tjgb/20220314/e0dcefec098c47a8b345c996081b5c94.html,
Shanghai,2022,,79610.0,24758900.0,44652.8,City statistical communique,https://tjj.sh.gov.cn/tjgb/20230317/6bb2cf0811ab41eb8ae397c8f8577e00.html,
Shanghai,2023,,84834.0,24874500.0,47218.66,City statistical communique,https://tjj.sh.gov.cn/tjgb/20240321/f66c5b25ce604a1f9af755941d5f454a.html,
Shanghai,2024,,88366.0,24802600.000000004,53926.71,City statistical communique,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,
Shanghai,2025,,91987.0,24854100.0,56708.71,City statistical communique,https://tjj.sh.gov.cn/tjgb/20260330/e0772941e8e041eaaad2df850b44ef98.html,
Shenyang,2020,,,,6571.6,City statistical communique,http://tjj.shenyang.gov.cn/sjfb/tjgb/202207/t20220711_3409875.html,22.6
Shenyang,2021,79706.0,,9118000.0,7249.7,City statistical communique,https://tjgb.hongheiku.com/djs/27930.html,23.4
Shenyang,2022,84268.0,45500.0,9147000.0,7695.8,City statistical communique,https://tjgb.hongheiku.com/djs/35417.html,24.9
Shenyang,2023,88519.0,47455.0,9204000.0,8122.1,City statistical communique,http://tjj.shenyang.gov.cn/sjfb/tjgb/202404/t20240411_4629092.html,34.9
Shenyang,2024,97871.0,49758.0,9243000.0,9027.1,City statistical communique,https://tjgb.hongheiku.com/djs/60025.html,38.7
Shenyang,2025,,51827.0,9276000.0,9100.3,City statistical communique,http://tjj.shenyang.gov.cn/sjfb/tjgb/202605/P020260519396879810015.pdf,35.0
Shenzhen,2020,,64878.0,,27670.24,City statistical communique,http://tjj.sz.gov.cn/gkmlpt/content/8/8717/post_8717370.html,
Shenzhen,2021,173663.0,70847.0,17681600.0,30664.85,City statistical communique,http://tjj.sz.gov.cn/gkmlpt/content/9/9763/post_9763042.html,
Shenzhen,2022,183274.0,72718.0,17661800.0,32387.68,City statistical communique,http://tjj.sz.gov.cn/gkmlpt/content/10/10577/post_10577661.html,
Shenzhen,2023,195230.17,76910.0,17661800.0,34606.4,City statistical communique,http://tjj.sz.gov.cn/gkmlpt/content/11/11264/post_11264245.html,
Shenzhen,2024,205714.0,81123.0,17989500.0,36801.87,City statistical communique,http://tjj.sz.gov.cn/gkmlpt/content/12/12190/post_12190509.html,
Shenzhen,2025,213763.0,84945.0,18248500.0,38731.8,City statistical communique,http://tjj.sz.gov.cn/zwgk/zfxxgkml/tjsj/tjgb/content/post_12803919.html,
Suzhou,2021,,68191.0,12847800.0,22718.3,City statistical communique,http://tjj.suzhou.gov.cn/sztjj/tjgb/202204/7fdf5b27bbcc41d2aea634e7c3a9e19e.shtml,
Suzhou,2022,186000.0,70819.0,12911000.0,23958.34,City statistical communique,http://tjj.suzhou.gov.cn/sztjj/tjgb/202303/833db17f2d15479791c1e3077579bb74.shtml,
Suzhou,2023,,74076.0,,,City statistical communique,http://tjj.suzhou.gov.cn/sztjj/tjgb/202403/44c648294e5e4275aa371908e6b199bc.shtml,
Suzhou,2024,206000.0,77524.0,12987000.0,26727.0,City statistical communique,http://tjj.suzhou.gov.cn/sztjj/tjgb/202504/c77512c90a144784beba4870a6b5cc0d.shtml,
Suzhou,2025,213000.0,80796.0,13047700.0,27695.1,City statistical communique,http://tjj.suzhou.gov.cn/sztjj/tjgb/202604/3dc4b574cabd4e86b36ec5d3280e927c.shtml,
Wuhan,2020,,,,15616.06,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202104/t20210425_1675623.shtml,
Wuhan,2021,135251.0,,13648900.000000002,17716.76,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202204/t20220402_1949877.shtml,
Wuhan,2022,137772.0,,13739000.0,18866.43,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202303/t20230330_2177979.shtml,
Wuhan,2023,145471.0,57105.0,13739000.0,20011.65,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202404/t20240405_2384677.shtml,
Wuhan,2024,153037.0,59732.0,13809100.0,21106.23,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202503/t20250327_2558447.shtml,
Wuhan,2025,,62530.0,,22147.35,City statistical communique,https://tjj.wuhan.gov.cn/tjfw/tjgb/202604/t20260408_2750693.shtml,
Xi'an,2022,88806.0,40214.0,12995900.0,,City statistical communique,https://tjgb.hongheiku.com/djs/35633.html,
Xi'an,2023,53056.0,27047.0,4458800.0,1990.5,City statistical communique,https://tjgb.hongheiku.com/djs/46518.html,
Xi'an,2024,101485.0,45082.0,13167600.0,13317.78,City statistical communique,https://qidian.sxtvs.com/timing/share/content/10583025,
Xiamen,2021,,64362.0,5280000.0,7033.89,City statistical communique,https://tjgb.hongheiku.com/djs/24437.html,50.56
Xiamen,2022,,67999.0,5308000.0,7802.66,City statistical communique,https://tjgb.hongheiku.com/djs/38423.html,59.29
Xiamen,2023,,71062.0,,8066.49,City statistical communique,https://tjgb.hongheiku.com/djs/45732.html,61.66
Xiamen,2024,,74249.0,5350000.0,8589.01,City statistical communique,https://tjgb.hongheiku.com/djs/57609.html,72.66
Xiamen,2025,,77762.0,,3056.72,City statistical communique,https://tjgb.hongheiku.com/djs/68649.html,79.08
Zhengzhou,2021,,39511.0,12742000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/25032.html,84.1
Zhengzhou,2022,,41049.0,12828000.0,,City statistical communique,https://tjgb.hongheiku.com/djs/36348.html,85.5
Zhengzhou,2023,,43785.0,13008000.0,13617.8,City statistical communique,https://tjgb.hongheiku.com/djs/47058.html,88.3
Zhengzhou,2024,,45994.2,13086000.0,14532.1,City statistical communique,https://tjgb.hongheiku.com/djs/59120.html,89.6
Zhengzhou,2025,,48021.0,13138000.0,15244.6,City statistical communique,https://tjgb.hongheiku.com/djs/69360.html,73.7
